"project_id","camera_id","make","model","serial_number","year_purchased"
"FNS","B150806844","Bushnell","Trophy Cam HD","B150806844","2018"
"FNS","B150804171","Bushnell","Trophy Cam HD","B150804171","2018"
"FNS","B150806936","Bushnell","Trophy Cam HD","B150806936","2018"
"FNS","B150806339","Bushnell","Trophy Cam HD","B150806339","2018"
"FNS","B150803602","Bushnell","Trophy Cam HD","B150803602","2018"
"FNS","B150803721","Bushnell","Trophy Cam HD","B150803721","2018"
"FNS","B150803380","Bushnell","Trophy Cam HD","B150803380","2018"
"FNS","B150803509","Bushnell","Trophy Cam HD","B150803509","2018"
"FNS","B150803770","Bushnell","Trophy Cam HD","B150803770","2018"
"FNS","B150803582","Bushnell","Trophy Cam HD","B150803582","2018"
"FNS","B150803524","Bushnell","Trophy Cam HD","B150803524","2018"
"FNS","B150806333","Bushnell","Trophy Cam HD","B150806333","2018"
"FNS","B15086944","Bushnell","Trophy Cam HD","B15086944","2018"
"FNS","B150803928","Bushnell","Trophy Cam HD","B150803928","2018"
"FNS","B150804450","Bushnell","Trophy Cam HD","B150804450","2018"
"FNS","B150803514","Bushnell","Trophy Cam HD","B150803514","2018"
"FNS","B150804206","Bushnell","Trophy Cam HD","B150804206","2018"
"FNS","B150713891","Bushnell","Trophy Cam HD","B150713891","2018"
