"project_id","deployment_id","placename","longitude","latitude","start_date","end_date","event","array_name","bait_type","bait_description","feature_type","feature_type_methodology","camera_id","quiet_period","camera_functioning","sensor_height","height_other","sensor_orientation","orientation_other","recorded_by"
"FNS","FNS_2019_CT-FNS-1-1","CT-FNS-1-1","-48.65228","-16.814",2019-11-10,2019-11-29,"2019","CT-FNS-1","None","","None","","B150806844","","","Knee height","","Parallel","",""
"FNS","FNS_2019_CT-FNS-1-2","CT-FNS-1-2","-48.65814","-16.64697",2019-11-08,2019-12-11,"2019","CT-FNS-1","None","","None","","B150804171","","Camera Functioning","Knee height","","Parallel","",""
"FNS","FNS_2019_CT-FNS-1-3","CT-FNS-1-3","-48.65199","-16.64673",2019-11-08,2019-12-09,"2019","CT-FNS-1","None","","None","","B150806936","","Camera Functioning","Knee height","","Parallel","",""
"FNS","FNS_2019_CT-FNS-1-4","CT-FNS-1-4","-48.65197","-16.64246",2019-11-08,2019-12-10,"2019","CT-FNS-1","None","","None","","B150806339","","Camera Functioning","Knee height","","Parallel","",""
"FNS","FNS_2019_CT-FNS-1-5","CT-FNS-1-5","-48.65818","-16.64257",2019-11-08,2019-11-24,"2019","CT-FNS-1","None","","None","","B150803602","","","Knee height","","Parallel","",""
"FNS","FNS_2019_CT-FNS-1-6","CT-FNS-1-6","-48.66408","-16.64254",2019-11-08,2019-12-10,"2019","CT-FNS-1","None","","None","","B150803721","","","Knee height","","Parallel","",""
"FNS","FNS_2019_CT-FNS-1-7","CT-FNS-1-7","-48.67014","-16.638",2019-11-08,2019-11-23,"2019","CT-FNS-1","None","","None","","B150803380","","Camera Functioning","Knee height","","Parallel","",""
"FNS","FNS_2019_CT-FNS-1-8","CT-FNS-1-8","-48.66417","-16.63831",2019-11-09,2019-12-10,"2019","CT-FNS-1","None","","None","","B150803509","","Camera Functioning","Knee height","","Parallel","",""
"FNS","FNS_2019_CT-FNS-1-9","CT-FNS-1-9","-48.6624","-16.63383",2019-11-09,2019-12-10,"2019","CT-FNS-1","None","","None","","B150803770","","Camera Functioning","Knee height","","Parallel","",""
"FNS","FNS_2019_CT-FNS-1-10","CT-FNS-1-10","-48.65816","-16.63822",2019-11-09,2019-11-12,"2019","CT-FNS-1","None","","None","","B150803582","","Camera Functioning","Knee height","","Parallel","",""
"FNS","FNS_2019_CT-FNS-1-11","CT-FNS-1-11","-48.6462","-16.6426",2019-11-09,2019-12-11,"2019","CT-FNS-1","None","","None","","B150803524","","Camera Functioning","Knee height","","Parallel","",""
"FNS","FNS_2019_CT-FNS-1-12","CT-FNS-1-12","-48.64636","-16.63818",2019-11-09,2019-12-11,"2019","CT-FNS-1","None","","None","","B150806333","","Camera Functioning","Knee height","","Parallel","",""
"FNS","FNS_2019_CT-FNS-1-13","CT-FNS-1-13","-48.65226","-16.63375",2019-11-09,2019-12-11,"2019","CT-FNS-1","None","","None","","B15086944","","Camera Functioning","Knee height","","Parallel","",""
"FNS","FNS_2019_CT-FNS-1-14","CT-FNS-1-14","-48.85826","-16.634",2019-11-09,2019-12-11,"2019","CT-FNS-1","None","","None","","B150803928","","Camera Functioning","Knee height","","Parallel","",""
"FNS","FNS_2019_CT-FNS-1-15","CT-FNS-1-15","-48.67016","-16.63359",2019-11-09,2019-12-11,"2019","CT-FNS-1","None","","None","","B150804450","","Camera Functioning","Knee height","","Parallel","",""
"FNS","FNS_2019_CT-FNS-1-16","CT-FNS-1-16","-48.66415","-16.62985",2019-11-10,2019-12-07,"2019","CT-FNS-1","None","","None","","B150803514","","","Knee height","","Parallel","",""
"FNS","FNS_2019_CT-FNS-1-17","CT-FNS-1-17","-48.65812","-16.62942",2019-11-10,2019-12-10,"2019","CT-FNS-1","None","","None","","B150804206","","Camera Functioning","Knee height","","Parallel","",""
"FNS","FNS_2019_CT-FNS-1-18","CT-FNS-1-18","-48.64658","-16.63377",2019-11-11,2019-12-12,"2019","CT-FNS-1","None","","None","","B150713891","","Camera Functioning","Knee height","","Parallel","",""
